name,price,description,image
Haiku#1912,200,"Técnica mixta sobre papel, 2019 (27,5 x 27,5)",https://res.cloudinary.com/dkaqnub41/image/upload/v1741213138/naniBoronat/jsekrmlnhkeiyeaw2xgm.jpg
Haiku#1908,200,"Técnica mixta sobre papel, 2019 (31 x 21)",https://res.cloudinary.com/dkaqnub41/image/upload/v1741213140/naniBoronat/rs84n4exe5ecizhmgjmn.jpg
Haiku#1915,200,"Técnica mixta sobre papel, 2019 (29,5 x 40,5)",https://res.cloudinary.com/dkaqnub41/image/upload/v1741213142/naniBoronat/tvfwrtj5israupoz1c0k.jpg
Haiku#1926,200,"Técnica mixta sobre papel, 2019 (29,5 x 40,5)",https://res.cloudinary.com/dkaqnub41/image/upload/v1741213143/naniBoronat/a4nau82haoztwefmpvyd.jpg
Haiku#1826,200,"Técnica mixta sobre papel, 2018 (29,5 x 40,5)",https://res.cloudinary.com/dkaqnub41/image/upload/v1741213146/naniBoronat/kkhxj3r8n0usqc5zktbq.jpg
Haiku#1825,200,"Técnica mixta sobre papel, 2018 (29,5 x 40,5)",https://res.cloudinary.com/dkaqnub41/image/upload/v1741213147/naniBoronat/uy14ieaxxbtivimw3muk.jpg
Haiku#1821,300,"Técnica mixta sobre papel, 2018 (60 x 42)",https://res.cloudinary.com/dkaqnub41/image/upload/v1741213148/naniBoronat/i5efe69ksafnmgyghspz.jpg
Haiku#1822,300,"Técnica mixta sobre papel, 2018 (60 x 42)",https://res.cloudinary.com/dkaqnub41/image/upload/v1741213149/naniBoronat/tiodz2qseft5gkiqh2yv.jpg
Haiku#1823,300,"Técnica mixta sobre papel, 2018 (60 x 42)",https://res.cloudinary.com/dkaqnub41/image/upload/v1741213150/naniBoronat/mlii5tglvpyrsohzxw9u.jpg
Haiku#1824,300,"Técnica mixta sobre papel, 2018 (42 x 60)",https://res.cloudinary.com/dkaqnub41/image/upload/v1741213151/naniBoronat/lypaopewjbcvtsu3p2j2.jpg
Besti-Ario#2010,350,"Técnica mixta sobre papel, 2020 (42 x 60)",https://res.cloudinary.com/dkaqnub41/image/upload/v1741213152/naniBoronat/smqkt870k2ldm08sll9b.jpg
Bestiario Andaluz#1728,300,"Técnica mixta sobre papel, 2017 (29,5 x 40,5)",https://res.cloudinary.com/dkaqnub41/image/upload/v1741213154/naniBoronat/vnxnfypwejwb9rfmamgz.jpg
Haiku#1722,300,"Técnica mixta sobre papel, 2017 (60 x 42)",https://res.cloudinary.com/dkaqnub41/image/upload/v1741213155/naniBoronat/prsqoqudtl9eo7hmr2if.jpg
